Contiguous U.S., Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
194301,29.41,-0.71
194302,36.28,2.46
194303,38.50,-3.00
194304,52.88,1.83
194305,59.72,-0.48
194306,68.77,0.28
194307,74.26,0.65
194308,73.45,1.35
194309,64.33,-0.53
194310,53.69,-0.42
194311,40.91,-0.78
194312,32.59,-0.09
194401,32.02,1.90
194402,34.50,0.68
194403,38.50,-3.00
194404,48.97,-2.08
194405,62.02,1.82
194406,68.36,-0.13
194407,72.79,-0.82
194408,72.10,0.00
194409,65.26,0.40
194410,55.27,1.16
194411,41.50,-0.19
194412,30.67,-2.01
194501,30.49,0.37
194502,35.28,1.46
194503,45.54,4.04
194504,50.22,-0.83
194505,58.28,-1.92
194506,65.88,-2.61
194507,72.93,-0.68
194508,72.16,0.06
194509,64.99,0.13
194510,54.14,0.03
194511,42.01,0.32
194512,29.08,-3.60
194601,31.39,1.27
194602,34.88,1.06
194603,46.78,5.28
194604,54.61,3.56
194605,58.75,-1.45
194606,68.32,-0.17
194607,73.85,0.24
194608,71.17,-0.93
194609,64.54,-0.32
194610,53.15,-0.96
194611,41.74,0.05
194612,36.18,3.50
194701,31.78,1.66
194702,31.41,-2.41
194703,38.75,-2.75
194704,50.95,-0.10
194705,60.13,-0.07
194706,66.72,-1.77
194707,72.81,-0.80
194708,74.08,1.98
194709,66.54,1.68
194710,58.80,4.69
194711,38.10,-3.59
194712,32.92,0.24
194801,27.88,-2.24
194802,31.62,-2.20
194803,38.71,-2.79
194804,53.35,2.30
194805,60.24,0.04
194806,68.76,0.27
194807,73.26,-0.35
194808,72.05,-0.05
194809,66.07,1.21
194810,53.19,-0.92
194811,41.59,-0.10
194812,32.58,-0.10
194901,25.92,-4.20
194902,31.91,-1.91
194903,40.77,-0.73
194904,52.07,1.02
194905,61.72,1.52
194906,69.24,0.75
194907,74.21,0.60
194908,72.10,0.00
194909,63.73,-1.13
194910,54.05,-0.06
194911,45.27,3.58
194912,33.26,0.58
195001,30.43,0.31
195002,35.55,1.73
195003,38.84,-2.66
195004,48.65,-2.40
195005,59.45,-0.75
195006,67.93,-0.56
195007,71.22,-2.39
195008,70.02,-2.08
195009,63.50,-1.36
195010,57.47,3.36
195011,40.64,-1.05
195012,33.01,0.33
195101,30.20,0.08
195102,34.54,0.72
195103,38.55,-2.95
195104,49.73,-1.32
195105,60.76,0.56
195106,66.65,-1.84
195107,73.69,0.08
195108,71.89,-0.21
195109,64.09,-0.77
195110,54.00,-0.11
195111,38.08,-3.61
195112,31.23,-1.45
195201,32.00,1.88
195202,35.46,1.64
195203,37.69,-3.81
195204,51.66,0.61
195205,60.58,0.38
195206,70.75,2.26
195207,74.10,0.49
195208,72.82,0.72
195209,65.89,1.03
195210,52.95,-1.16
195211,39.92,-1.77
195212,33.44,0.76
195301,36.43,6.31
195302,35.87,2.05
195303,43.75,2.25
195304,48.76,-2.29
195305,59.18,-1.02
195306,70.18,1.69
195307,74.17,0.56
195308,72.10,0.00
195309,66.16,1.30
195310,56.21,2.10
195311,43.88,2.19
195312,33.69,1.01
195401,30.90,0.78
195402,41.41,7.59
195403,39.25,-2.25
195404,54.18,3.13
195405,58.59,-1.61
195406,68.85,0.36
195407,75.47,1.86
195408,72.18,0.08
195409,66.45,1.59
195410,54.68,0.57
195411,44.06,2.37
195412,33.91,1.23
195501,29.35,-0.77
195502,31.05,-2.77
195503,40.06,-1.44
195504,52.86,1.81
195505,61.29,1.09
195506,66.54,-1.95
195507,74.44,0.83
195508,73.87,1.77
195509,65.88,1.02
195510,55.04,0.93
195511,38.23,-3.46
195512,31.71,-0.97
195601,31.01,0.89
195602,32.27,-1.55
195603,40.75,-0.75
195604,49.37,-1.68
195605,61.77,1.57
195606,70.36,1.87
195607,73.06,-0.55
195608,71.69,-0.41
195609,65.10,0.24
195610,56.16,2.05
195611,40.32,-1.37
195612,36.23,3.55
195701,27.07,-3.05
195702,38.07,4.25
195703,41.27,-0.23
195704,50.70,-0.35
195705,59.65,-0.55
195706,68.70,0.21
195707,74.28,0.67
195708,71.65,-0.45
195709,64.18,-0.68
195710,51.67,-2.44
195711,40.26,-1.43
195712,37.00,4.32
195801,31.60,1.48
195802,31.98,-1.84
195803,37.67,-3.83
195804,50.27,-0.78
195805,62.42,2.22
195806,67.93,-0.56
195807,72.63,-0.98
195808,73.29,1.19
195809,65.43,0.57
195810,54.73,0.62
195811,43.02,1.33
195812,32.22,-0.46
195901,29.50,-0.62
195902,32.49,-1.33
195903,41.45,-0.05
195904,51.60,0.55
195905,60.84,0.64
195906,69.96,1.47
195907,73.58,-0.03
195908,73.17,1.07
195909,64.74,-0.12
195910,53.33,-0.78
195911,38.66,-3.03
195912,35.94,3.26
196001,29.46,-0.66
196002,30.52,-3.30
196003,35.91,-5.59
196004,52.59,1.54
196005,59.31,-0.89
196006,69.08,0.59
196007,73.89,0.28
196008,72.21,0.11
196009,66.45,1.59
196010,54.77,0.66
196011,42.73,1.04
196012,30.40,-2.28
196101,29.71,-0.41
196102,37.42,3.60
196103,43.47,1.97
196104,48.67,-2.38
196105,58.87,-1.33
196106,69.49,1.00
196107,73.24,-0.37
196108,72.70,0.60
196109,63.41,-1.45
196110,53.85,-0.26
